ano,cidade,foto_url,km,link,loja,preco,titulo
2019,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/8897b13e-8372-4883-9147-ed0c43c296fd.webp,KM 124.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/amarok-20-comfortline-4x4-cd-16v-turbo-intercooler-diesel-4-2298455,Malentachi Veículos,"R$118.900,00",Volkswagen AMAROK 2.0 COMFORTLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4 4 portas 2019 Malentachi Veículos Sorocaba
2021,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/d841d5a1-ef53-4fea-a2e3-360ed87ab56c.webp,KM 69.471,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/t-cross-10-200-tsi-total-flex-manual-2297017,ZN Multimarcas,"R$96.990,00",Volkswagen T-CROSS 1.0 200 TSI TOTAL FLEX MANUAL 4 portas 2021 ZN Multimarcas Sorocaba
2018,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/1bcc594d-2777-44a1-8773-887a4d07f4a5.webp,KM 179.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/kangoo-16-express-16v-flex-3p-manual-2297205,Malentachi Veículos,"R$57.900,00",Renault KANGOO 1.6 EXPRESS 16V FLEX 3P MANUAL 3 portas 2018 Malentachi Veículos Sorocaba
2016,Paulista,https://www.comprecar.com.br/storage/vehicles/thumb/986d70a8-a48a-41ed-885f-fa1c4d8ef1b4.webp,KM 41.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/varzea-paulista/picanto-10-ex-12v-2083454,Fox Automóveis Várzea,"R$51.900,00",Kia PICANTO 1.0 EX 12V 4 portas 2016 Fox Automóveis Várzea Paulista
2008,Jundiaí,https://www.comprecar.com.br/storage/vehicles/thumb/1e0464be-31e2-4bae-8352-bd66d8b2477e.webp,,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/jundiai/2008-active-turbo-200-cvt-2087522,ACTIVE TURBO 200 CVT 4 portas 2024 Luiz,"R$124.990,00",PEUGEOT 2008 ACTIVE TURBO 200 CVT 4 portas 2024 Luiz Jundiaí
2012,Jundiaí,https://www.comprecar.com.br/storage/vehicles/thumb/50aa8fbf-2370-4fe2-abb6-8dc00d2f9369.webp,KM 181.700,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/jundiai/ka-10-mpi-8v-2086099,Contesini Multimarcas,"R$24.900,00",FORD KA 1.0 MPI 8V 2 portas 2012 Contesini Multimarcas Jundiaí
2011,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/b8a1ebf1-5079-4d0d-97bb-ebd0cd9da612.webp,KM N/D,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/fox-10-2083603,Sorocaba Automóveis,"R$31.900,00",Volkswagen Fox 1.0 4 portas 2011 Sorocaba Automóveis Sorocaba
2012,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/42b49ec1-ebce-4070-bc02-3e6b60f1325d.webp,KM N/D,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/uno-way-10-2079526,Sorocaba Automóveis,"R$29.800,00",Fiat Uno Way 1.0 4 portas 2012 Sorocaba Automóveis Sorocaba
2019,Salto,https://www.comprecar.com.br/storage/vehicles/thumb/0b48dccb-cd60-4c67-9f88-21c4c85b558e.webp,KM 98.300,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/salto/yaris-13-16v-xl-2054643,Markvel Carros e Motos,"R$71.500,00",Toyota YARIS 1.3 16V XL 4 portas 2019 Markvel Carros e Motos Salto
2024,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/6d38ad11-af6e-4025-ae48-90457ae1b145.webp,KM 60.486,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/virtus-10-170-tsi-manual-2263274,Ômega Comendador,"R$96.900,00",Volkswagen VIRTUS 1.0 170 TSI MANUAL 4 portas 2024 Ômega Comendador Sorocaba
